RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,1
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,2
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,2
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,2
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,2
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,3
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,3
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,3
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,3
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,3
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,5
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,5
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,5
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,5
1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,5
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,6
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,6
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,6
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,6
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,7
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,7
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,7
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,7
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,7
